product,features
google-pixel-11-pro-xl,"Specs
Key features

T-Satellite with Starlink

This device is compatible with T-Satellite, so you can stay connected in places never thought possible with the only mobile + satellite network powering messaging and apps.

Learn more about T-Satellite

50 MP wide| 48 MP ultrawide with Macro Focus | 48 MP 5x telephoto lens |ProZoom up to 120x

42 MP Dual PD selfie camera with autofocus

Talk Time

Standby Time

Other features
Gemini Intelligence - Proactive, personal help across your apps.¹
Magic Cue - Info and next steps, right when you need them.¹
120x Pro Zoom - Zoom up to 120x with spectacularly sharp photos.²
Upgraded Cameras - Two upgraded lenses with 30% better light sensitivity.³
Larger 6.7"" Display - Expansive Super Actua screen at 3,600 nits.⁴
Tensor G6 & Vapor Chamber - Advanced on-device AI that stays cool.⁵
Ultra-Fast Charging - Up to 75% charge in about 30 minutes, wired.⁶
30+ Hour Battery - Over 30 hours with Adaptive Battery.⁷
Satellite SOS - Emergency help via satellite, even with no signal.⁸
Pixel Safe Security - Highest-rated for security 5 years running.⁹
New phone, minimal setup time - Get a head start on syncing your photos and other data now.¹⁰
Models with 256GB have 12GB RAM
Models with 512GB have 16GB RAM
Attention-grabbing design meets an evolution of the award-winning Pixel Camera. On Google Pixel 11 Pro XL, Gemini Intelligence manages details so you can live the moment.1

Pixel 11 Pro XL is the ultimate Pixel experience, featuring unprecedented AI with Gemini, unbelievable camera quality, impāeccable design, the new Pixel Glow LED notification system, and the next-gen Google Tensor G6 chip.1

Also check out the newest Google Pixel phones, including Pixel 11, Pixel 11 Pro and Pixel 11 Pro Fold on our largest and fastest 5G network.

Google Pixel 11 Pro XL "
google-pixel-11-pro,"Specs
Key features

T-Satellite with Starlink

This device is compatible with T-Satellite, so you can stay connected in places never thought possible with the only mobile + satellite network powering messaging and apps.

Learn more about T-Satellite

50 MP wide| 48 MP ultrawide with Macro Focus | 48 MP 5x telephoto lens |Pro Zoom up to 120x

42 MP Dual PD selfie camera with autofocus

Talk Time

Standby Time

Other features
120x Pro Zoom - Zoom up to 120x with spectacularly sharp photos.²
Upgraded Cameras - Two upgraded lenses with 30% better light sensitivity.³
Super Actua Display - 6.3"" screen at 3,600 nits, 2x more scratch-resistant.⁴
Tensor G6 & Vapor Chamber - Advanced on-device AI that stays cool.⁵
Pixelsnap Charging - Up to 29% faster wireless charging.⁶
30+ Hour Battery - Over 30 hours with Adaptive Battery.⁷
Satellite SOS - Emergency help via satellite, even with no signal.⁸
Pixel Safe Security - Highest-rated for security 5 years running.⁹
New phone, minimal setup time - Get a head start on syncing your photos and other data now.¹⁰
Models with 256GB have 12GB RAM
Models with 512GB have 16GB RAM
Attention-grabbing design meets an evolution of the award-winning Pixel Camera. On Google Pixel 11 Pro, Gemini Intelligence manages details so you can live the moment.1

Pixel 11 Pro is the ultimate Pixel experience, featuring unprecedented AI with Gemini, unbelievable camera quality, impeccable design, the new Pixel Glow LED notification system, and the next-gen Google Tensor G6 chip.


Also check out the newest Google Pixel phones, including, Pixel 11, Pixel 11 Pro Fold and Pixel 11 Pro XL, on our largest and fastest 5G network.

Google Pixel 11 Pro "
google-pixel-11,"Specs
Key features

T-Satellite with Starlink

This device is compatible with T-Satellite, so you can stay connected in places never thought possible with the only mobile + satellite network powering messaging and apps.

Learn more about T-Satellite

48 MP wide with Macro Focus | 13 MP ultrawide | 10.8 MP 5x telephoto lens | Super Zoom up to 30x

10.5 MP Dual PD selfie camera with autofocus

Talk Time

Standby Time

Other features
Gemini Intelligence - Proactive, personal help across your apps.¹
Redesigned 48 MP Camera - Larger lens with 56% better light sensitivity.²
30x Super Zoom - Sharp, detailed shots from a distance.³
Actua Display - 3,000-nit screen with Gorilla Glass Victus.²,⁴
Tensor G6 & Titan M3 - Fast performance with post-quantum security.⁵
7 Years of Updates - 7 years of OS and security updates.⁶
Satellite SOS - Emergency help via satellite, even with no signal.⁷
New phone, minimal setup time - Get a head start on syncing your photos and other data now.⁸
Pixel Safe Security - Highest-rated for security 5 years running.⁹
Escape the ordinary with Google Pixel 11. It has Pixel’s most powerful chip, an incredible camera, and Gemini built in to supercharge your productivity and creativity.

Google Pixel 11. Iconic design meets an evolution of the award-winning Pixel Camera. Gemini Intelligence effortlessly manages details so you can stay perfectly present.1



Also check out the newest Google Pixel phones, including, Pixel 11 Pro, Pixel 11 Pro Fold and Pixel 11 Pro XL, on our largest and fastest 5G network.

Google Pixel 11 "
google-pixel-11-pro-fold,"Specs
Key features

T-Satellite with Starlink

This device is compatible with T-Satellite, so you can stay connected in places never thought possible with the only mobile + satellite network powering messaging and apps.

Learn more about T-Satellite

48 MP Quad PD wide camera |10.5 MP Dual PD ultrawide camera | 10.8 MP Dual PD telephoto camera

10 MP Dual PD selfie camera

Talk Time

Standby Time

Other features
Gemini Intelligence - Proactive, personal help across your apps.¹
Magic Cue - Info and next steps, right when you need them.¹
8"" Super Actua Flex Display - 20% brighter screens, inside and out.²
3x More Durable - Tougher back, glass, and hinge; 3x stronger.³
Thinnest, Lightest Fold - ~1mm thinner, 10% lighter; opens to 8"".⁴
30x Super Zoom - Sharper distant details than ever.⁵
48 MP Night Sight - New sensor pulls in 56% more light after dark.⁶
Tensor G6 & Titan M3 - Advanced AI, smooth multitasking, protected.⁷
Tabletop & Dual Screen - Hands-free streaming; preview on outer screen.⁸
Satellite SOS - Emergency help via satellite, even with no signal.⁹
New phone, minimal setup time - Get a head start on syncing your photos and other data now.¹⁰
Google Pixel 11 Pro Fold makes multitasking effortless. Built with Gemini Intelligence, brighter screens, and a more durable design.1,2

Unfold extraordinary with Google Pixel 11 Pro Fold. Our largest screen, plus advanced AI with Gemini.1 It's the best Pixel for multitasking and entertainment.

Also check out the newest Google Pixel phones, including Pixel 11, Pixel 11 Pro and Pixel 11 Pro XL on our largest and fastest 5G network.

Google Pixel 11 Pro Fold "
samsung-galaxy-z-fold8,"Overview
Specs
Key features

T-Satellite with Starlink

This device is compatible with T-Satellite, so you can stay connected in places never thought possible with the only mobile + satellite network powering messaging and apps.

Learn more about T-Satellite

Dual 50MP Wide & Ultra Wide Rear Cameras

10MP Front Facing Camera & 10MP Cover Camera when Folded

49 Hours Talk Time

15.6 Days Standby Time

Other features
5.5"" FHD+ Dynamic AMOLED 2X Cover Display
Shaped for Content
World’s Lightest Fold¹
Powerful Performance – Snapdragon 8 Elite Gen 5 for Galaxy
Super Steady Video with Horizontal Lock
Brightest Display on a Galaxy Phone w/120Hz Adaptive Refresh Rate
Large Screen Gaming
Extensive battery life for an expansive screen
My FanCam – Reframe Your Videos and Follow the Action²
50MP Dual Camera
Flex Titanium Display
Super-Fast Charging Capable
IPx8 Water Resistant
Android 17 OS
Bluetooth 6.0
Wi-Fi 7
Conversational Gains 15dB w/Hearing Aid & 18dB w/out Hearing Aid
6.35” Width x 0.18” Depth Unfolded
3.22” Width x 0.38” Depth Folded
If you love to get lost in your entertainment, then Galaxy Z Fold8 is for you. This all-new foldable has an all-new shape that really makes your content shine. On the cover screen, enjoy the perfect ratio for scrolling your socials, and then unfold the wide 7.6"" display3 to immerse yourself in your streaming favorites. Rotate your screen to portrait mode and the same space becomes a full-page e-book, making everything you love feel big, clear and more inviting.

When you switch from viewing content to capturing content, Galaxy Z Fold8 is ready. With a 50MP dual camera system and an expansive screen, you can see the details before you snap and admire your pic on an immersive display after.

This new design also sets a new record as the world's lightest fold.4 But don't let that fool you —inside, you still get a 4,800mAh battery, Super Fast Charging 2.05 and the Snapdragon® 8 Elite Gen 5 for Galaxy chip to power your immersive on-the-go experience.

Galaxy Z Fold8 reshapes how you enjoy content, turning every movie night, reading session and social scroll into an experience that perfectly fits your favorites.

1Among smartphones only.
2Samsung account required. Video must be 720 x 720 pixels or higher. Results may vary.
3Display measurements are diagonal, and actual viewable area is less due to rounded corners and camera hole punch.
4Among smartphones only.
5Requires 45W Super Fast Charger (sold separately). Charging speed depends on battery level and other factors; use only Samsung-approved chargers; do not use any worn or damaged chargers or cables; incompatible charger or cable can cause serious injuries or damage to your device.

Check out the latest Samsung Galaxy Z Flip8, along with deals on the Samsung Galaxy S26, Galaxy S26+, and Galaxy S26 Ultra.

Samsung Galaxy Z Fold8 "
samsung-galaxy-z-flip8,"Overview
Specs
Key features

T-Satellite with Starlink

This device is compatible with T-Satellite, so you can stay connected in places never thought possible with the only mobile + satellite network powering messaging and apps.

Learn more about T-Satellite

50MP + 12MP Rear-Facing Camera System

10MP Front Facing Camera

50 Hours Talk Time

13.9 Days Standby Time

Other features
FlexWindow Lets Your Access Your Favorite Apps with a Tap
FlexCam + Super Steady Video (with Horizontal Lock)
World’s Lightest and Thinnest Flip¹
Powerful Performance – Snapdragon 8 Elite Gen 5 for Galaxy
A Shade for Every Style
Lightweight Design. Long-lasting battery
My FanCam – Reframe Your Videos and Follow the Action²
Bigger Battery
Flexmode
Tap to Transfer (P2P)
Lightweight design. Long-lasting battery
Super-Fast Charging Capable
IPx8 Water Resistant
Fingerprint ID
Android 17 OS
Bluetooth 5.4
Wi-Fi 7
Conversational Gain 14dB w/Hearing Aids
Conversational Gain 16dB w/out Hearing Aids
6.57” Height x 0.24” Depth Unfolded
3.37” Height x 0.52” Depth Folded
Galaxy Z Flip8 redefines what a compact foldable can do. First off, it's the lightest and thinnest flip phone in the world,1 with a profile that flexes between ultimate pocketability and a super-slim canvas.

When closed, the convenient edge-to-edge cover screen lets you access your favorite apps with a tap. FlexWindow also brings calendar alerts, quick replies and AI-driven suggestions front and center the moment that you need them.

Flip it open and the phone becomes your portable content studio. Use the 50MP main camera in FlexMode to capture shots hands-free. Or go hands-on and film memories on the move while Super Steady Video3 locks in to smoothly capture the action.

Galaxy Z Flip8 flexes to your life, keeping you in the moment and ready for anything.

1Among smartphones only.
2Samsung account required. Video must be 720 x 720 pixels or higher. Results may vary.
3Available on wide & ultra wide lenses; supports up to QHD at up to 30fps. Image will be cropped to maintain a level horizon.

Check out the latest Samsung Galaxy Z Fold8, along with deals on the Samsung Galaxy S26, Galaxy S26+, and Galaxy S26 Ultra.

Samsung Galaxy Z Flip8 "
samsung-galaxy-z-fold8-ultra,"Overview
Specs
Key features

T-Satellite with Starlink

This device is compatible with T-Satellite, so you can stay connected in places never thought possible with the only mobile + satellite network powering messaging and apps.

Learn more about T-Satellite

200MP Wide, 12MP UW & 10MP Telephoto Camera System

10MP Front Facing Camera & 10MP Cover Camera when Folded

51 Hours Talk Time

15.6 Days Standby Time

Other features
6.5""FHD+ Dynamic AMOLED 2X Cover Display
Side-by-Side Multi Window¹
200MP Ultra-Powerful Camera
Powerful Performance – Snapdragon 8 Elite Gen 5 for Galaxy
Super Steady Video with Horizontal Lock
Brightest Display on a Galaxy Phone w/120Hz Adaptive Refresh Rate
Large Screen Gaming
Slim Design Engineered for Ease
My FanCam – Reframe Your Videos and Follow the Action²
Flex Titanium Display
Super-Fast Charging Capable
IPx8 Water Resistant
Android 17 OS
Bluetooth 6.0
Wi-Fi 7
Conversational Gains 12dB w/Hearing Aid & 15dB w/out Hearing Aid
5.64” Width x 0.16” Depth Unfolded
2.87” Width x 0.35” Depth Folded
Galaxy Z Fold8 Ultra is the multitasker's secret weapon. Flexing a massive 8"" screen3 while staying just 4.1mm thin, it's a command center-size display that folds and fits in your pocket.

Side-by-Side Multi Window1 turns that expansive screen into a productivity playground by allowing you to use up to three apps at once to enjoy plenty of space to work, play and more.

With our latest custom processor, you have the speed you need for seamless multitasking along with a 5,000mAh battery —the same size as the one powering our Galaxy S26 Ultra. Plus, you can get back to getting more done quickly with Super Fast Charging 2.0.4

While you're out doing it all, take pics that capture it all. Galaxy Z Fold8 Ultra boasts a 200MP camera and now also includes a new 50MP Ultra Wide lens that delivers four times the detail of its predecessor, ensuring crisp shots from up close to far away.

Galaxy Galaxy Z Fold8 Ultra is a foldable that gives multitaskers like you everything they need to thrive.

1Multi Window works with select applications.
2Samsung account required. Video must be 720 x 720 pixels or higher. Results may vary.
3Display measurements are diagonal, and actual viewable area is less due to rounded corners and camera hole punch.
4Requires 45W Super Fast Charger (sold separately). Charging speed depends on battery level and other factors; use only Samsung-approved chargers; do not use any worn or damaged chargers or cables; incompatible charger or cable can cause serious injuries or damage to your device.

Check out the latest Samsung Galaxy Z Fold8, along with deals on the Samsung Galaxy S26, Galaxy S26+, and Galaxy S26 Ultra.

Samsung Galaxy Z Fold8 Ultra "
apple-iphone-17-pro-max,"Overview
Specs
Key features

T-Satellite with Starlink

This device is compatible with T-Satellite, so you can stay connected in places never thought possible with the only mobile + satellite network powering messaging and apps.

Learn more about T-Satellite

48MP Pro Fusion camera system |48MP Fusion Main 48MP Fusion |Ultra Wide 48MP Fusion Telephoto

18MP Center Stage camera

39 Hours Talk Time

Standby Time

Other features
6.9"" Super Retina XDR display¹
UniBody Design for exceptional power
Durable ceramic Shield front and back ²,³
Water resistant to a depth of 6 meters for up to 30 minutes²
A19 Pro chip. Vapor Cooled. Lighting Fast
Best Battery life in an iPhone ever⁴,⁵
iOS 26⁶
Built for Apple Intelligence⁷
Satellite features ⁹
Stronger Connectivity , Superfast speeds¹¹
eSIM
iPhone 17 Pro Max. The most powerful iPhone ever. Brilliant 6.9-inch display1, aluminum unibody design, A19 Pro chip, all 48MP rear cameras, and best-ever battery life.

Also be sure to explore the stunning Apple iPhone 17e, Apple iPhone 17, Apple iPhone 17 Pro and Apple iPhone Air available on the nation’s largest and fastest nationwide 5G network.

iPhone 17 Pro Max "
apple-iphone-17-pro,"Overview
Specs
Key features

T-Satellite with Starlink

This device is compatible with T-Satellite, so you can stay connected in places never thought possible with the only mobile + satellite network powering messaging and apps.

Learn more about T-Satellite

48MP Pro Fusion camera system : 48MP Fusion Main 48MP Fusion |Ultra Wide 48MP Fusion Telephoto

18MP Center Stage camera

33 Hours Talk Time

Standby Time

Other features
6.3"" Super Retina XDR display¹
UniBody Design for exceptional power
Durable ceramic Shield front and back ²,³
Water resistant to a depth of 6 meters for up to 30 minutes²
A19 Pro chip. Vapor Cooled. Lighting Fast
Best Battery life in an iPhone ever⁴,⁵
iOS 26⁶
Built for Apple Intelligence⁷
Satellite features ⁹
Stronger Connectivity , Superfast speeds¹¹
eSIM
iPhone 17 Pro. The most powerful iPhone ever. Brilliant 6.3-inch display,1 aluminum unibody design, A19 Pro chip, all 48MP rear cameras, and breakthrough battery life.

Also be sure to explore the stunning Apple iPhone 17e, Apple iPhone 17, Apple iPhone 17 Pro Max and Apple iPhone Air, available on the nation’s largest and fastest nationwide 5G network.

iPhone 17 Pro "
apple-iphone-17,"Overview
Specs
Key features

T-Satellite with Starlink

This device is compatible with T-Satellite, so you can stay connected in places never thought possible with the only mobile + satellite network powering messaging and apps.

Learn more about T-Satellite

48MP Dual Fusion camera system : 48MP Fusion Main | 48MP Fusion Ultra Wide

18MP Center Stage Camera

30 Hours Talk Time

Standby Time

Other features
6.3-inch Super Retina XDR display¹
Ceramic Shield 2 3x better scratch resistance ²
Stunning Shots
Up to 50% faster CPU performance
A19 Chip
Charges Fast, makes it last⁵
Built for Apple Intelligence⁴
iOS 26 ⁶
Satellite features ⁷˒⁸
Stronger Connectivity , Superfast speeds⁹˒¹⁰
eSIM
iPhone 17. More delightful. More durable. 6.3-inch ProMotion display,1 Ceramic Shield 2, all 48MP rear cameras, Center Stage front camera, A19 chip, and more.

Also be sure to explore the stunning Apple iPhone 17e, Apple iPhone Air, Apple iPhone 17 Pro and Apple iPhone 17 Pro Max available on the nation’s largest and fastest nationwide 5G network.

iPhone 17 "
motorola-razr-plus-2026,"Overview
Specs
Key features

T-Satellite with Starlink

This device is compatible with T-Satellite, so you can stay connected in places never thought possible with the only mobile + satellite network powering messaging and apps.

Learn more about T-Satellite

50MP Wide Camera |50MP Ultrawide & Macro Vision

32MP Front Camera

31 Hours Talk Time

14.5 Days Standby Time

Other features
Full apps. Zero flips
Flexibility meets camera power
Intelligent performance
All-day power¹ , fast charging
Compact design, built tough
Iconic razr style
45W TurboPower™ charging.²
Closed: 3.5 × 2.9 × 0.6 inches
Open: 2.9 × 6.7 × 0.3 inches
Do more without flipping open. motorola razr+ puts what matters most right at your fingertips with a large 4.0"" external display that lets you run full apps, reply to messages, and stay connected at a glance. Capture photos and videos in new ways using Flex View and a powerful dual 50MP main camera system designed for creative flexibility. Advanced AI-powered camera features help you capture sharper action shots, better group photos, and stunning results with less effort. Powered by the Snapdragon® 8s Gen 3 mobile platform, performance stays fast and responsive throughout your day. With all-day battery life1 and fast charging, it keeps up with you. A compact design built tough and finished in distinctive Pantone® colors brings iconic razr style to life. The new motorola razr+. Flip into more.

1All battery life claims are approximate and based on the median user tested across a mixed use profile (which includes both usage and standby time) under optimal network conditions. Actual battery performance will vary and depends on many factors including signal strength, network and device settings, temperature, battery condition, and usage patterns.
2Median users can get up to 12 hours of battery life in about 11 min of charge. Tested under controlled laboratory conditions. Actual charging speed will vary based on temperature, device settings and other factors. Battery must be substantially depleted; charging rate slows as charging progresses. Charger sold separately. Charge using Motorola TurboPower™ 45W charger or higher (sold separately). Higher chargers will not increase maximum 45W charge capability. Use of other chargers not recommended and may impair charging performance.
What’s in the box
motorola razr+ 2026
USB Type-C Cable
Guides
SIM tool
Additional spec details
Battery Description
4500mAh
Ports
USB Type-C
Connectivity
WiFi: 7 /6E / 6 / 5, Bluetooth 5.4, NFC, Satellite Capable, Satellite Data Capable, NativeSatellite Capable
Processor
Snapdragon® 8s Gen 3
Operating System
Android
Ram
12 GB
Maximum Expandable Memory
0 GB
Wireless Network Technology Generations
4G LTE, 5G
Supported Email Platforms
Apple Mail, POP3, IMAP4, SMTP, Microsoft® Exchange, AOL, AIM, Yahoo!® Mail, Gmail
WEA Capable
true
Mobile Hotspot Capable
true
Frequency
GSM: 850 MHz, 900 MHz, 1800 MHz, 1900 MHz; UMTS: Band I (2100), Band II (1900), Band IV (1700/2100), Band V (850), Band VIII (900); LTE: 1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 46, 48, 66, 71; 5G: n1, n2, n3, n5, n7, n12, n14, n20, n25, n26, n28, n29, n30, n38, n40, n41, n48, n66, n70, n71, n77, n78
Display
6.9"" FHD+ AMOLED
Display resolution
2640 x 1080 pixels
Weight
6.7 Ounces
Length
0.3 Inches
Height
6.7 Inches
Width
2.9 Inches
Accessibility
Hearing Aid Compatibility
Pass (2019 Standard)"
